Time (s),Location - X (cm),Location - Y (cm),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°),Gyroscope - Pitch (°/s),Gyroscope - Roll (°/s),Gyroscope - Yaw (°/s),Accelerometer - X (g),Accelerometer - Y (g),Accelerometer - Z (g),Accelerometer - Total (g),Velocity - X (cm/s),Velocity - Y (cm/s),Velocity - Total (cm/s),Distance - X (cm),Distance - Y (cm),Distance - Total (cm)
0.00,0.34,0.12,2.00,1.00,-39.00,-21.2,-83.1,794.1,-0.87,-0.40,2.09,2.30,4.75,6.13,7.76,0.00,0.00,0.00
0.10,0.28,0.05,2.00,-2.00,-5.00,-91.9,26.8,61.3,-0.07,-0.01,0.96,0.96,0.38,3.37,3.39,0.08,0.26,0.27
0.22,0.31,0.39,7.00,-6.00,-2.00,-50.9,19.9,10.5,-0.10,-0.11,0.97,0.98,0.29,2.73,2.74,0.12,0.61,0.62
0.33,0.35,1.21,16.00,-8.00,0.00,-221.2,10.3,53.3,-0.27,-0.31,0.83,0.93,0.55,22.61,22.62,0.16,1.42,1.44
0.45,0.32,3.24,30.00,-6.00,1.00,-51.1,-36.6,-23.5,-0.08,-0.43,0.90,1.00,-1.01,17.55,17.58,0.21,3.45,3.47
0.55,0.19,5.31,34.00,-2.00,1.00,15.4,-30.5,19.2,-0.06,-0.86,0.94,1.28,-1.30,14.45,14.51,0.34,5.53,5.55
0.67,-0.05,7.86,32.00,0.00,2.00,33.2,-36.9,-35.3,0.08,-0.31,0.52,0.61,-2.46,26.95,27.06,0.58,8.07,8.11
0.79,-0.17,11.02,27.00,2.00,0.00,-25.8,13.1,-4.3,0.08,-1.01,0.93,1.38,-0.30,36.28,36.29,0.69,11.23,11.27
0.90,-0.14,14.86,19.00,0.00,0.00,90.4,35.5,0.0,-0.07,0.15,0.67,0.69,0.41,34.20,34.21,0.72,15.07,15.11
1.00,-0.12,19.09,11.00,-5.00,0.00,-13.6,39.3,-1.8,-0.04,-0.50,0.76,0.91,0.15,44.82,44.82,0.75,19.31,19.35
1.12,-0.16,23.70,3.00,-7.00,1.00,103.6,2.2,15.4,-0.25,-0.03,0.92,0.95,-1.00,37.55,37.56,0.79,23.92,23.95
1.24,-0.24,26.36,-22.00,-6.00,1.00,196.8,-5.7,28.9,-0.12,0.61,0.77,0.99,-0.99,25.04,25.06,0.88,26.58,26.62
1.36,-0.37,29.72,-34.00,-4.00,1.00,-26.8,-17.7,-10.2,0.00,0.40,0.48,0.63,-1.42,37.86,37.89,1.00,29.93,29.98
1.46,-0.44,32.94,-36.00,-2.00,0.00,63.5,-13.1,-8.5,-0.03,0.95,0.87,1.29,-0.30,24.68,24.68,1.07,33.15,33.20
1.55,-0.43,36.22,-30.00,0.00,0.00,-169.2,-26.3,14.5,-0.16,0.76,0.77,1.09,0.32,36.27,36.27,1.08,36.43,36.48
1.67,-0.40,38.34,-24.00,1.00,0.00,-89.3,-9.3,0.6,0.04,0.40,0.90,0.99,0.25,20.02,20.02,1.11,38.56,38.60
1.79,-0.40,40.41,-14.00,1.00,0.00,-86.5,8.5,2.4,0.04,0.14,0.90,0.91,-0.20,16.30,16.30,1.13,40.62,40.67
1.91,-0.44,41.70,-8.00,0.00,1.00,23.9,33.3,-4.8,0.00,0.19,0.99,1.00,-0.42,4.51,4.53,1.17,41.91,41.95
